Order Id,Supplier,Commodity,Order Country,Order Region,Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delay_Days,Late_delivery_risk,Order Item Quantity,Sales
77202,Indonesia,Battery Materials,Indonesia,Southeast Asia,Standard Class,3,4,-1,0,1,327.75
75939,India,Battery Materials,India,South Asia,Standard Class,5,4,1,1,1,327.75
75938,India,Battery Materials,India,South Asia,Standard Class,4,4,0,0,1,327.75
75937,Australia,Battery Materials,Australia,Oceania,Standard Class,3,4,-1,0,1,327.75
75936,Australia,Battery Materials,Australia,Oceania,Standard Class,2,4,-2,0,1,327.75
75935,Australia,Battery Materials,Australia,Oceania,Standard Class,6,4,2,0,1,327.75
75934,China,Battery Materials,China,Eastern Asia,First Class,2,1,1,1,1,327.75
75933,China,Battery Materials,China,Eastern Asia,First Class,2,1,1,1,1,327.75
75932,China,Battery Materials,China,Eastern Asia,Second Class,3,2,1,1,1,327.75
75931,China,Battery Materials,China,Eastern Asia,First Class,2,1,1,1,1,327.75
75930,Japón,Battery Materials,Japón,Eastern Asia,Second Class,6,2,4,0,1,327.75
75929,Indonesia,Battery Materials,Indonesia,Southeast Asia,Second Class,5,2,3,1,1,327.75
75928,Indonesia,Battery Materials,Indonesia,Southeast Asia,Second Class,4,2,2,1,1,327.75
75927,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75
75926,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75
75925,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75
75924,Corea del Sur,Battery Materials,Corea del Sur,Eastern Asia,Second Class,5,2,3,1,1,327.75
75923,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75
75922,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75
75921,India,Battery Materials,India,South Asia,Same Day,0,0,0,0,1,327.75
75920,India,Battery Materials,India,South Asia,Same Day,0,0,0,0,1,327.75
75919,India,Battery Materials,India,South Asia,Standard Class,5,4,1,1,1,327.75
75918,Australia,Battery Materials,Australia,Oceania,Second Class,4,2,2,1,1,327.75
75917,Australia,Battery Materials,Australia,Oceania,Second Class,3,2,1,0,1,327.75
75916,Australia,Battery Materials,Australia,Oceania,Second Class,2,2,0,0,1,327.75
75915,Australia,Battery Materials,Australia,Oceania,Second Class,6,2,4,1,1,327.75
75914,Australia,Battery Materials,Australia,Oceania,Second Class,5,2,3,1,1,327.75
75913,China,Battery Materials,China,Eastern Asia,Standard Class,4,4,0,0,1,327.75
75912,China,Battery Materials,China,Eastern Asia,Standard Class,3,4,-1,0,1,327.75
75911,China,Battery Materials,China,Eastern Asia,Standard Class,2,4,-2,0,1,327.75
75910,China,Battery Materials,China,Eastern Asia,Standard Class,6,4,2,1,1,327.75
75909,India,Battery Materials,India,South Asia,Standard Class,5,4,1,1,1,327.75
75908,India,Battery Materials,India,South Asia,Standard Class,4,4,0,0,1,327.75
75907,China,Battery Materials,China,Eastern Asia,First Class,2,1,1,1,1,327.75
75906,China,Battery Materials,China,Eastern Asia,First Class,2,1,1,1,1,327.75
