Order Id,Supplier,Commodity,Order Country,Order Region,Shipping Mode,Days for shipping (real),Days for shipment (scheduled),Delay_Days,Late_delivery_risk,Order Item Quantity,Sales,Risk_Probability
77202,Indonesia,Battery Materials,Indonesia,Southeast Asia,Standard Class,3,4,-1,0,1,327.75,1.8733426e-05
75939,India,Battery Materials,India,South Asia,Standard Class,5,4,1,1,1,327.75,0.96205544
75938,India,Battery Materials,India,South Asia,Standard Class,4,4,0,0,1,327.75,1.816398e-05
75937,Australia,Battery Materials,Australia,Oceania,Standard Class,3,4,-1,0,1,327.75,1.2730408e-05
75936,Australia,Battery Materials,Australia,Oceania,Standard Class,2,4,-2,0,1,327.75,1.2730408e-05
75935,Australia,Battery Materials,Australia,Oceania,Standard Class,6,4,2,0,1,327.75,0.96511966
75934,China,Battery Materials,China,Eastern Asia,First Class,2,1,1,1,1,327.75,0.9352038
75933,China,Battery Materials,China,Eastern Asia,First Class,2,1,1,1,1,327.75,0.9352038
75932,China,Battery Materials,China,Eastern Asia,Second Class,3,2,1,1,1,327.75,0.9398271
75931,China,Battery Materials,China,Eastern Asia,First Class,2,1,1,1,1,327.75,0.9352038
75930,JapÃ³n,Battery Materials,JapÃ³n,Eastern Asia,Second Class,6,2,4,0,1,327.75,0.94480073
75929,Indonesia,Battery Materials,Indonesia,Southeast Asia,Second Class,5,2,3,1,1,327.75,0.95978785
75928,Indonesia,Battery Materials,Indonesia,Southeast Asia,Second Class,4,2,2,1,1,327.75,0.9688486
75927,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75,0.9585724
75926,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75,0.9585724
75925,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75,0.9585724
75924,Corea del Sur,Battery Materials,Corea del Sur,Eastern Asia,Second Class,5,2,3,1,1,327.75,0.9854735
75923,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75,0.9585724
75922,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75,0.9585724
75921,India,Battery Materials,India,South Asia,Same Day,0,0,0,0,1,327.75,1.627392e-05
75920,India,Battery Materials,India,South Asia,Same Day,0,0,0,0,1,327.75,1.627392e-05
75919,India,Battery Materials,India,South Asia,Standard Class,5,4,1,1,1,327.75,0.96205544
75918,Australia,Battery Materials,Australia,Oceania,Second Class,4,2,2,1,1,327.75,0.9711006
75917,Australia,Battery Materials,Australia,Oceania,Second Class,3,2,1,0,1,327.75,0.95595366
75916,Australia,Battery Materials,Australia,Oceania,Second Class,2,2,0,0,1,327.75,1.2647384e-05
75915,Australia,Battery Materials,Australia,Oceania,Second Class,6,2,4,1,1,327.75,0.9439278
75914,Australia,Battery Materials,Australia,Oceania,Second Class,5,2,3,1,1,327.75,0.96970874
75913,China,Battery Materials,China,Eastern Asia,Standard Class,4,4,0,0,1,327.75,1.3615911e-05
75912,China,Battery Materials,China,Eastern Asia,Standard Class,3,4,-1,0,1,327.75,1.3786068e-05
75911,China,Battery Materials,China,Eastern Asia,Standard Class,2,4,-2,0,1,327.75,1.3786068e-05
75910,China,Battery Materials,China,Eastern Asia,Standard Class,6,4,2,1,1,327.75,0.953891
75909,India,Battery Materials,India,South Asia,Standard Class,5,4,1,1,1,327.75,0.96205544
75908,India,Battery Materials,India,South Asia,Standard Class,4,4,0,0,1,327.75,1.816398e-05
75907,China,Battery Materials,China,Eastern Asia,First Class,2,1,1,1,1,327.75,0.9352038
75906,China,Battery Materials,China,Eastern Asia,First Class,2,1,1,1,1,327.75,0.9352038
75905,Singapur,Battery Materials,Singapur,Southeast Asia,First Class,2,1,1,1,1,327.75,0.9628215
75904,India,Battery Materials,India,South Asia,First Class,2,1,1,1,1,327.75,0.9585724
75903,Australia,Battery Materials,Australia,Oceania,First Class,2,1,1,1,1,327.75,0.9382667
75902,Australia,Battery Materials,Australia,Oceania,Same Day,1,0,1,1,1,327.75,0.9540369
75901,Australia,Battery Materials,Australia,Oceania,Same Day,1,0,1,0,1,327.75,0.9540369
75900,Singapur,Battery Materials,Singapur,Southeast Asia,Same Day,1,0,1,1,1,327.75,0.96562
75899,Singapur,Battery Materials,Singapur,Southeast Asia,Same Day,1,0,1,1,1,327.75,0.96562
75898,Indonesia,Battery Materials,Indonesia,Southeast Asia,Standard Class,4,4,0,0,1,327.75,1.5955782e-05
75897,Indonesia,Battery Materials,Indonesia,Southeast Asia,Standard Class,3,4,-1,0,1,327.75,1.8733426e-05
75896,Australia,Battery Materials,Australia,Oceania,Standard Class,2,4,-2,0,1,327.75,1.2730408e-05
75895,India,Battery Materials,India,South Asia,Standard Class,6,4,2,1,1,327.75,0.9609198
75894,India,Battery Materials,India,South Asia,Second Class,5,2,3,1,1,327.75,0.9642641
75893,China,Battery Materials,China,Eastern Asia,Standard Class,4,4,0,0,1,327.75,1.3615911e-05
28744,India,Interior Components,India,South Asia,Second Class,5,2,3,1,2,119.9800034,0.9589706
45461,TurquÃ­a,Interior Components,TurquÃ­a,West Asia,Second Class,2,2,0,0,2,79.98000336,1.41335295e-05
31115,Australia,Semiconductors,Australia,Oceania,Second Class,6,2,4,1,2,100.0,0.9548077
45766,TurquÃ­a,Interior Components,TurquÃ­a,West Asia,Second Class,2,2,0,0,2,79.98000336,1.41335295e-05
47752,Mongolia,Semiconductors,Mongolia,Eastern Asia,Second Class,3,2,1,1,2,100.0,0.9741391
50054,TurquÃ­a,Semiconductors,TurquÃ­a,West Asia,Second Class,5,2,3,1,2,100.0,0.9781697
20365,India,Semiconductors,India,South Asia,Second Class,6,2,4,1,2,100.0,0.9592846
36146,Estados Unidos,Battery Materials,Estados Unidos,West of USA ,Second Class,2,2,0,0,2,89.98000336,1.4770924e-05
41234,Estados Unidos,Semiconductors,Estados Unidos,West of USA ,Second Class,5,2,3,1,2,109.9400024,0.95704824
32090,Estados Unidos,Interior Components,Estados Unidos,West of USA ,Second Class,6,2,4,1,2,119.9800034,0.9538105
34773,Estados Unidos,Interior Components,Estados Unidos,US Center ,Second Class,4,2,2,1,2,119.9800034,0.96103764
44046,Nigeria,Metal Components,Nigeria,West Africa,Second Class,2,2,0,0,3,299.9700012,1.5953286e-05
46414,RepÃºblica DemocrÃ¡tica del Congo,Interior Components,RepÃºblica DemocrÃ¡tica del Congo,Central Africa,Second Class,5,2,3,1,3,119.9700012,0.9597184
46599,Senegal,Interior Components,Senegal,West Africa,Second Class,5,2,3,1,3,65.97000122,0.959499
48434,Marruecos,Battery Materials,Marruecos,North Africa,Second Class,5,2,3,1,3,95.97000122,0.9685494
12827,Alemania,Metal Components,Alemania,Western Europe,Second Class,3,2,1,1,3,299.9700012,0.9584574
63936,Francia,Metal Components,Francia,Western Europe,Second Class,2,2,0,0,3,299.9700012,1.5649635e-05
65030,Francia,Metal Components,Francia,Western Europe,Second Class,6,2,4,1,3,299.9700012,0.964804
18108,PaÃ­ses Bajos,Interior Components,PaÃ­ses Bajos,Western Europe,Second Class,4,2,2,1,3,179.9700012,0.9751897
62571,Reino Unido,Interior Components,Reino Unido,Northern Europe,Second Class,2,2,0,0,3,179.9700012,1.3854339e-05
17162,Reino Unido,Interior Components,Reino Unido,Northern Europe,Second Class,3,2,1,1,3,179.9700012,0.9561002
65922,Francia,Interior Components,Francia,Western Europe,Second Class,3,2,1,1,3,179.9700012,0.95686275
63936,Francia,Semiconductors,Francia,Western Europe,Second Class,2,2,0,0,3,150.0,1.4913671e-05
64813,Reino Unido,Interior Components,Reino Unido,Northern Europe,Second Class,4,2,2,1,3,119.9700012,0.9601655
67892,Alemania,Semiconductors,Alemania,Western Europe,Second Class,3,2,1,1,3,150.0,0.9564965
12525,Francia,Interior Components,Francia,Western Europe,Second Class,6,2,4,1,3,65.97000122,0.96870416
5895,Guatemala,Metal Components,Guatemala,Central America,Second Class,6,2,4,1,3,299.9700012,0.9618871
56359,El Salvador,Interior Components,El Salvador,Central America,Second Class,5,2,3,1,3,179.9700012,0.95855695
58613,PanamÃ¡,Interior Components,PanamÃ¡,Central America,Second Class,4,2,2,1,3,179.9700012,0.9864118
7824,RepÃºblica Dominicana,Interior Components,RepÃºblica Dominicana,Caribbean,Second Class,5,2,3,1,3,179.9700012,0.9577936
